"CAMPAIGN_PERFORMANCE_REPORT (May 1, 2022-May 31, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Mixed,87224,757,699057387,12.36,Lectron - Performance Max,enabled,0.87%,2022-05-12
Mixed,234623,1552,2142004546,51.56,Lectron - Performance Max,enabled,0.66%,2022-05-26
Mixed,29288,298,179745855,12.80,Lectron - Performance Max,enabled,1.02%,2022-05-03
Mixed,30378,302,198631079,8.00,Lectron - Performance Max,enabled,0.99%,2022-05-06
Mixed,143533,1117,1201598519,50.02,Lectron - Performance Max,enabled,0.78%,2022-05-21
Mixed,262284,1820,2419870333,49.34,Lectron - Performance Max,enabled,0.69%,2022-05-31
Mixed,28898,321,208883166,18.96,Lectron - Performance Max,enabled,1.11%,2022-05-08
Mixed,40853,430,349308666,13.03,Lectron - Performance Max,enabled,1.05%,2022-05-10
Mixed,186204,1323,1607159191,44.06,Lectron - Performance Max,enabled,0.71%,2022-05-23
Mixed,93865,863,793106232,22.59,Lectron - Performance Max,enabled,0.92%,2022-05-14
Mixed,100956,999,1038648580,22.07,Lectron - Performance Max,enabled,0.99%,2022-05-17
Mixed,77818,742,685092610,18.07,Lectron - Performance Max,enabled,0.95%,2022-05-11
Mixed,95093,909,805357145,25.21,Lectron - Performance Max,enabled,0.96%,2022-05-15
Mixed,32641,390,222093629,12.00,Lectron - Performance Max,enabled,1.19%,2022-05-02
Mixed,30159,339,225736487,9.02,Lectron - Performance Max,enabled,1.12%,2022-05-09
Mixed,140422,1032,1180791444,28.05,Lectron - Performance Max,enabled,0.73%,2022-05-20
Mixed,31411,338,214074852,12.03,Lectron - Performance Max,enabled,1.08%,2022-05-04
Mixed,30642,328,199278142,8.97,Lectron - Performance Max,enabled,1.07%,2022-05-05
Mixed,242749,1536,2191787586,36.06,Lectron - Performance Max,enabled,0.63%,2022-05-30
Mixed,239443,1824,2235638229,50.13,Lectron - Performance Max,enabled,0.76%,2022-05-29
Mixed,128195,1090,1076401334,27.93,Lectron - Performance Max,enabled,0.85%,2022-05-19
Mixed,158867,1171,1294515567,31.15,Lectron - Performance Max,enabled,0.74%,2022-05-22
Mixed,204118,1486,1908288225,53.66,Lectron - Performance Max,enabled,0.73%,2022-05-25
Mixed,228755,1674,2159733596,45.12,Lectron - Performance Max,enabled,0.73%,2022-05-28
Mixed,213796,1445,1961794922,45.94,Lectron - Performance Max,enabled,0.68%,2022-05-24
Mixed,107056,915,899452596,22.97,Lectron - Performance Max,enabled,0.85%,2022-05-16
Mixed,34074,403,209487294,10.03,Lectron - Performance Max,enabled,1.18%,2022-05-01
Mixed,93336,767,726889868,15.76,Lectron - Performance Max,enabled,0.82%,2022-05-13
Mixed,28999,307,200554555,12.99,Lectron - Performance Max,enabled,1.06%,2022-05-07
Mixed,115520,1015,992468435,21.95,Lectron - Performance Max,enabled,0.88%,2022-05-18
Mixed,255134,1554,2280718142,62.35,Lectron - Performance Max,enabled,0.61%,2022-05-27
Total, --, --, --, --, --, --, --, --
