"CAMPAIGN_PERFORMANCE_REPORT (Dec 1, 2021-Dec 31, 2021)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Sitelink,902,1,1760000,0.00,4x4Attitude,paused,0.11%,2021-12-20
Phone calls,20,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-13
Sitelink,1112,1,1540000,0.00,4x4Attitude,paused,0.09%,2021-12-21
Promotion Extension,1030,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-23
Promotion Extension,476,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-17
Phone calls,272,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-18
Headline,2073,47,23810000,0.00,4x4Attitude,paused,2.27%,2021-12-28
Sitelink,166,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-09
Headline,1763,36,21550000,0.00,4x4Attitude,paused,2.04%,2021-12-22
Promotion Extension,1244,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-26
Sitelink,1031,1,360000,0.00,4x4Attitude,paused,0.10%,2021-12-31
Headline,1524,40,34550000,0.00,4x4Attitude,paused,2.62%,2021-12-21
Promotion Extension,1292,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-29
Phone calls,93,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-17
Phone calls,193,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-27
Sitelink,287,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-16
Headline,208,9,11940000,0.00,4x4Attitude,paused,4.33%,2021-12-14
Promotion Extension,985,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-27
Sitelink,1022,2,1550000,0.00,4x4Attitude,paused,0.20%,2021-12-18
Promotion Extension,154,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-13
Headline,1409,24,10150000,0.00,4x4Attitude,paused,1.70%,2021-12-31
Phone calls,143,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-20
Sitelink,1148,2,1400000,0.00,4x4Attitude,paused,0.17%,2021-12-19
Total, --, --, --, --, --, --, --, --
