"AD_PERFORMANCE_REPORT (Jul 1, 2022-Jul 3, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
, --, --, --,, --,,,Responsive search ad,558028348475,7,2,2920000,0.00,"[{""assetText"":""Abel Tasman Kayaking Tours"",""assetId"":18218476095,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""A Range Of Kayaking Options"",""assetId"":18218453748,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We're A Zero Carbon Business"",""assetId"":18218277003,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access 6 Coastal Drop Spots"",""assetId"":18218453754,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Beautiful Coastline To Explore"",""assetId"":18218453736,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""NZ's Sea Kayaking Mecca"",""assetId"":18218453739,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""2 Hours - Multi Day Rental"",""assetId"":18218453745,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""The Abel Tasman National Park Is NZ's Sea Kayaking Mecca For Over 30 Years."",""assetId"":18218476098,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Kayaking Tour Online Today. Browse Over 20 Tour Options Available."",""assetId"":18218453760,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Pull Your Kayak Up Onto A Beach To Camp For The Night Or Plan A Day Trip."",""assetId"":18218453763,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Perfect For First-Time Paddlers Or Seasoned Kayakers."",""assetId"":18218453751,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",tours,kayaking, --, --,"[""https://www.abeltasman.com/activities/kayaking/?utm_source=google&utm_medium=cpc&utm_campaign=kayaking""]", --, --, --, --, --, --,28.57%,2022-07-01
, --, --, --,,Abel Tasman Water Taxis Provide A Quick & Convenient Access To The 6 Major Bays.,,,Expanded dynamic search ad,557967190447,8,4,1100000,0.00, --, --, --, --, --,Book Your Water Taxi Tour Online Today. Get Up Close To The Beautiful Coastline & Wildlife, --, --, --, --, --, --, --,50.00%,2022-07-01
, --, --, --,, --,,,Responsive search ad,589905641203,1,0,0,0.00,"[{""assetText"":""Abel Tasman Water Taxi"",""assetId"":18186985703,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters"",""assetId"":18186976103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Online Booking System"",""assetId"":18186976082,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access Secret Coastal Spots"",""assetId"":18186976088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Public Small Boat Trips"",""assetId"":18186976076,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Aqua Taxis - Abel Tasman"",""assetId"":18186976094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""One Of A Kind Boat Launch"",""assetId"":18186985706,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Private Small Boat Trips"",""assetId"":18186985697,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Abel Tasman Sea Shuttles Provide A Quick & Convenient Access To The 6 Major Bays."",""assetId"":36015831368,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Sea Shuttle Tour Online. Get Up Close To The Beautiful Coastline & Wildlife"",""assetId"":36015831371,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Our Online Booking Service Lets You Design Your Own Trip & Receive Instant Confirmation."",""assetId"":18186976106,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters. All Day Boat Tours, Create Your Own Day Out."",""assetId"":18186976100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",watertaxi,booking, --, --,"[""https://www.abeltasman.com/activities/water-taxis/?utm_source=google&utm_medium=cpc&utm_campaign=watertaxis""]", --, --, --, --, --, --,0.00%,2022-07-01
, --, --, --,, --,,,Responsive search ad,557965538845,28,4,2710000,0.00,"[{""assetText"":""Abel Tasman National Park"",""assetId"":18218276997,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We're A Zero Carbon Business"",""assetId"":18218277003,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""NZ's Best National Park"",""assetId"":18218276973,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Fun For All Ages"",""assetId"":18218277006,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Gift Vouchers Available"",""assetId"":18218276994,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Plan With Our Trip Finder"",""assetId"":18218276985,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Walks"",""assetId"":36452698482,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Abel Tasman - A Kiwi Experience Of A Lifetime. From Kayaking, Water Taxis & Nature Walks."",""assetId"":18218276988,""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Summer Trip Online Today. Bring The Family & Build Lifelong Memories."",""assetId"":18218276982,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We're A Locally Owned Family Business, Making Abel Tasman Memories For Over 20 Years."",""assetId"":18218276991,""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We Are Deeply Committed To Providing Our Customers With A Quality Experience."",""assetId"":18218277000,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""}]", --, --, --, --,"[""https://www.abeltasman.com/?utm_source=google&utm_medium=cpc&utm_campaign=brand""]", --, --, --, --, --, --,14.29%,2022-07-02
, --, --, --,, --,,,Responsive search ad,558028200857,3,1,330000,0.00,"[{""assetText"":""Marahau Kayaking Tours"",""assetId"":18218453742,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""A Range Of Kayaking Options"",""assetId"":18218453748,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We're A Zero Carbon Business"",""assetId"":18218277003,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access 6 Coastal Drop Spots"",""assetId"":18218453754,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Beautiful Coastline To Explore"",""assetId"":18218453736,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""NZ's Sea Kayaking Mecca"",""assetId"":18218453739,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""2 Hours - Multi Day Rental"",""assetId"":18218453745,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Marahau Is NZ's Sea Kayaking Mecca & Has Been For Over 30 Years."",""assetId"":18218453757,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Kayaking Tour Online Today. Browse Over 20 Tour Options Available."",""assetId"":18218453760,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Pull Your Kayak Up Onto A Beach To Camp For The Night Or Plan A Day Trip."",""assetId"":18218453763,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Perfect For First-Time Paddlers Or Seasoned Kayakers."",""assetId"":18218453751,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",tours,kayaking, --, --,"[""https://www.abeltasman.com/activities/kayaking/?utm_source=google&utm_medium=cpc&utm_campaign=kayaking""]", --, --, --, --, --, --,33.33%,2022-07-02
, --, --, --,, --,,,Responsive search ad,558028348475,11,0,0,0.00,"[{""assetText"":""Abel Tasman Kayaking Tours"",""assetId"":18218476095,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""A Range Of Kayaking Options"",""assetId"":18218453748,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""We're A Zero Carbon Business"",""assetId"":18218277003,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access 6 Coastal Drop Spots"",""assetId"":18218453754,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Beautiful Coastline To Explore"",""assetId"":18218453736,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""NZ's Sea Kayaking Mecca"",""assetId"":18218453739,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""2 Hours - Multi Day Rental"",""assetId"":18218453745,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""The Abel Tasman National Park Is NZ's Sea Kayaking Mecca For Over 30 Years."",""assetId"":18218476098,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Kayaking Tour Online Today. Browse Over 20 Tour Options Available."",""assetId"":18218453760,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Pull Your Kayak Up Onto A Beach To Camp For The Night Or Plan A Day Trip."",""assetId"":18218453763,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Perfect For First-Time Paddlers Or Seasoned Kayakers."",""assetId"":18218453751,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",tours,kayaking, --, --,"[""https://www.abeltasman.com/activities/kayaking/?utm_source=google&utm_medium=cpc&utm_campaign=kayaking""]", --, --, --, --, --, --,0.00%,2022-07-02
, --, --, --,,Abel Tasman Water Taxis Provide A Quick & Convenient Access To The 6 Major Bays.,,,Expanded dynamic search ad,557967190447,8,4,4200000,1.00, --, --, --, --, --,Book Your Water Taxi Tour Online Today. Get Up Close To The Beautiful Coastline & Wildlife, --, --, --, --, --, --, --,50.00%,2022-07-02
, --, --, --,, --,,,Responsive search ad,557898424440,9,6,1000000,0.00,"[{""assetText"":""Marahau Water Taxi"",""assetId"":18186976085,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters"",""assetId"":18186976103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Online Booking System"",""assetId"":18186976082,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access Secret Coastal Spots"",""assetId"":18186976088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Public Small Boat Trips"",""assetId"":18186976076,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Aqua Taxis - Abel Tasman"",""assetId"":18186976094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Marahau Water Taxis Provide A Quick & Convenient Access To The 6 Major Bays."",""assetId"":18186976097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Water Taxi Tour Online Today. Get Up Close To The Beautiful Coastline & Wildlife"",""assetId"":18186976091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Our Online Booking Service Lets You Design Your Own Trip & Receive Instant Confirmation."",""assetId"":18186976106,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters. All Day Boat Tours, Create Your Own Day Out."",""assetId"":18186976100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",watertaxi, --, --, --,"[""https://www.abeltasman.com/activities/water-taxis/?utm_source=google&utm_medium=cpc&utm_campaign=watertaxis""]", --, --, --, --, --, --,66.67%,2022-07-02
, --, --, --,, --,,,Responsive search ad,558027110783,33,13,12170000,1.00,"[{""assetText"":""Abel Tasman Water Taxi"",""assetId"":18186985703,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters"",""assetId"":18186976103,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Online Booking System"",""assetId"":18186976082,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access Secret Coastal Spots"",""assetId"":18186976088,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Public Small Boat Trips"",""assetId"":18186976076,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Aqua Taxis - Abel Tasman"",""assetId"":18186976094,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""One Of A Kind Boat Launch"",""assetId"":18186985706,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Private Small Boat Trips"",""assetId"":18186985697,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Abel Tasman Water Taxis Provide A Quick & Convenient Access To The 6 Major Bays."",""assetId"":18186985700,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Water Taxi Tour Online Today. Get Up Close To The Beautiful Coastline & Wildlife"",""assetId"":18186976091,""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Our Online Booking Service Lets You Design Your Own Trip & Receive Instant Confirmation."",""assetId"":18186976106,""assetPerformanceLabel"":""GOOD"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters. All Day Boat Tours, Create Your Own Day Out."",""assetId"":18186976100,""assetPerformanceLabel"":""LEARNING"",""assetApprovalStatus"":""APPROVED""}]",watertaxi,booking, --, --,"[""https://www.abeltasman.com/activities/water-taxis/?utm_source=google&utm_medium=cpc&utm_campaign=watertaxis""]", --, --, --, --, --, --,39.39%,2022-07-02
, --, --, --,, --,,,Responsive search ad,557898424440,10,6,4090000,1.00,"[{""assetText"":""Marahau Water Taxi"",""assetId"":18186976085,""pinnedField"":""HEADLINE_1"",""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters"",""assetId"":18186976103,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Online Booking System"",""assetId"":18186976082,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Get Closer To The Scenery"",""assetId"":18186976079,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Access Secret Coastal Spots"",""assetId"":18186976088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Abel Tasman Is Where It's At"",""assetId"":18218276976,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Online Today"",""assetId"":18218276979,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Public Small Boat Trips"",""assetId"":18186976076,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Aqua Taxis - Abel Tasman"",""assetId"":18186976094,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Marahau Water Taxis Provide A Quick & Convenient Access To The 6 Major Bays."",""assetId"":18186976097,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Book Your Water Taxi Tour Online Today. Get Up Close To The Beautiful Coastline & Wildlife"",""assetId"":18186976091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Our Online Booking Service Lets You Design Your Own Trip & Receive Instant Confirmation."",""assetId"":18186976106,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Scenic Cruises & Charters. All Day Boat Tours, Create Your Own Day Out."",""assetId"":18186976100,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",watertaxi, --, --, --,"[""https://www.abeltasman.com/activities/water-taxis/?utm_source=google&utm_medium=cpc&utm_campaign=watertaxis""]", --, --, --, --, --, --,60.00%,2022-07-03
