"AD_PERFORMANCE_REPORT (Jun 1, 2022-Jun 20, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
,#1 Take Out Box Supplier,100% Customizable,CoPack Inc.,,"At CoPack, We Work With Restaurants Of All Sizes And Needs.",,,Expanded text ad,545464228979,5,0,0,0.00, --, --, --, --,View Our Range Of High-Quality Customized Take Out Boxes And Request A Quote!, --,"[""https://copackinc.com/category-food/""]",customizable,take out boxes, --, --, --, --,0.00%,2022-06-02
,Customized Take Out Bags,Affordable & Eco-Friendly,CoPack Inc.,,"No Matter The Size, Design Or Logo, We'll Handle It For You At An Affordable Price",,,Expanded text ad,545324645928,1,0,0,0.00, --, --, --, --,Request A Free Quote For Our Custom Paper Take Out Bags!, --,"[""https://copackinc.com/""]",customizable,take out bags, --, --, --, --,0.00%,2022-06-03
, --, --, --,, --,,,Responsive search ad,545337300195,30,2,2290000,2.00,"[{""assetText"":""Total Packaging Solution"",""assetId"":16288175227,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""CoPack Inc"",""assetId"":17083309864,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Shipping Boxes"",""assetId"":17083657025,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Durable & Strong"",""assetId"":17083657115,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Easy To Lable"",""assetId"":17083657058,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Customizable For Your Brand"",""assetId"":17083309696,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Eco-Friendly Alternatives"",""assetId"":17083657028,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Made From Durable Materials"",""assetId"":17083657124,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""#1 Custom Mailer Boxes"",""assetId"":17083657055,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""No.1 Shipping Box Supplier"",""assetId"":17083656992,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Your Brand Will Stand Out Amongst A Sea Of Brown Boxes."",""assetId"":17083657154,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""These Custom Shipping Boxes Are Durable And Strong Shipping Corrugated Boxes."",""assetId"":17083657142,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Our Range And Request A Quote For Our Top-Quality Custom Mailer Boxes Now!"",""assetId"":17083657007,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",custom,shipping boxes, --, --,"[""https://copackinc.com/product/shipping-boxes/""]", --, --, --, --, --, --,6.67%,2022-06-03
,100% Compostable Mailers,Customize With Your Brand,CoPack Inc.,,"Our Compostable Mailers Are Waterproof, Lightweight & As Strong As Poly Mailers.",,,Expanded text ad,545476201172,1,1,1240000,1.00, --, --, --, --,View Our Range And Request A Quote For Our Top-Quality Compostable Mailing Bags Now!, --,"[""https://copackinc.com/product/compostable-mailers/""]",compostable,mailers, --, --, --, --,100.00%,2022-06-03
, --, --, --,, --,,,Responsive search ad,545337300195,56,5,4930000,4.00,"[{""assetText"":""Total Packaging Solution"",""assetId"":16288175227,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""CoPack Inc"",""assetId"":17083309864,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Shipping Boxes"",""assetId"":17083657025,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Durable & Strong"",""assetId"":17083657115,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Easy To Lable"",""assetId"":17083657058,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Customizable For Your Brand"",""assetId"":17083309696,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Eco-Friendly Alternatives"",""assetId"":17083657028,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Made From Durable Materials"",""assetId"":17083657124,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""#1 Custom Mailer Boxes"",""assetId"":17083657055,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""No.1 Shipping Box Supplier"",""assetId"":17083656992,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Your Brand Will Stand Out Amongst A Sea Of Brown Boxes."",""assetId"":17083657154,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""These Custom Shipping Boxes Are Durable And Strong Shipping Corrugated Boxes."",""assetId"":17083657142,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Our Range And Request A Quote For Our Top-Quality Custom Mailer Boxes Now!"",""assetId"":17083657007,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",custom,shipping boxes, --, --,"[""https://copackinc.com/product/shipping-boxes/""]", --, --, --, --, --, --,8.93%,2022-06-05
, --, --, --,,Take Your Take Out Cups To The Next Level With Personalized Branding.,,,Expanded dynamic search ad,551812630699,1,0,0,0.00, --, --, --, --, --,Request A Free Quote For Our Customized Cups Today!, --, --, --, --, --, --, --,0.00%,2022-06-07
, --, --, --,, --,,,Responsive search ad,545411698789,12,0,0,0.00,"[{""assetText"":""Total Packaging Solution"",""assetId"":16288175227,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""CoPack Inc"",""assetId"":17083309864,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""#1 Compostable Mailers"",""assetId"":17083656950,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Customize With Your Logo/Brand"",""assetId"":17083657061,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Compostable Mailing Bags"",""assetId"":17083656995,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Great Alternative To Plastic"",""assetId"":17083657130,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Compostable & Biodegradable"",""assetId"":17083657034,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Compostable Mailers"",""assetId"":17083657013,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Strong As Poly Mailers"",""assetId"":17083657088,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Lightweight & Waterproof"",""assetId"":17083656947,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Compostable Mailers"",""assetId"":17083657148,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""PLA, PBAT & Corn Starch"",""assetId"":17083656962,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Our 100% Compostable Mailers Are A Great Alternative To Plastic Mailers."",""assetId"":17083657091,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Our Compostable Mailers Are Waterproof, Lightweight & As Strong As Poly Mailers."",""assetId"":17083657037,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Our Range And Request A Quote For Our Top-Quality Compostable Mailing Bags Now!"",""assetId"":17083656968,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",compostable,mailers, --, --,"[""https://copackinc.com/product/compostable-mailers/""]", --, --, --, --, --, --,0.00%,2022-06-07
,Customizable Kraft Mailers,Lightweight & Affordable,CoPack Inc.,,CoPack Inc. Offers The Total Packaging Solution.,,,Expanded text ad,545476980143,1,0,0,0.00, --, --, --, --,View Our Range And Request A Quote For Our Top-Quality Kraft Paper Mailers Now!, --,"[""https://copackinc.com/product/kraft-paper-mailers/""]",custom kraft,paper mailers, --, --, --, --,0.00%,2022-06-07
, --, --, --,, --,,,Responsive search ad,545411688685,14,1,1060000,2.00,"[{""assetText"":""Total Packaging Solution"",""assetId"":16288175227,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""CoPack Inc"",""assetId"":17083309864,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Customizable Poly Bags"",""assetId"":17083656974,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""#1 Poly Bag Supplier"",""assetId"":17083657121,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Quality Poly Shipping Bags"",""assetId"":17083657040,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Branded Poly Bags"",""assetId"":17083657145,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Tear-Resistant"",""assetId"":17083656977,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""100% Customizable"",""assetId"":17083309705,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Easy To Carry"",""assetId"":17083309897,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Weather & Water-Resistant"",""assetId"":17083657127,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Customize Your Poly Shipping Bags With Your Own Company's Logo Or Design."",""assetId"":17083657064,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Our Polythene Bags Are Strong, Flexible & Lightweight Which Makes It Perfect For Shipping."",""assetId"":17083657067,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Our Range And Request A Quote For Our Top-Quality Poly Bags Now!"",""assetId"":17083657043,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",custom,poly bags, --, --,"[""https://copackinc.com/product/poly-bags/""]", --, --, --, --, --, --,7.14%,2022-06-09
, --, --, --,, --,,,Responsive search ad,545337300195,38,3,2960000,3.00,"[{""assetText"":""Total Packaging Solution"",""assetId"":16288175227,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""CoPack Inc"",""assetId"":17083309864,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Custom Shipping Boxes"",""assetId"":17083657025,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Durable & Strong"",""assetId"":17083657115,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Easy To Lable"",""assetId"":17083657058,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Customizable For Your Brand"",""assetId"":17083309696,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Eco-Friendly Alternatives"",""assetId"":17083657028,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""Made From Durable Materials"",""assetId"":17083657124,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""#1 Custom Mailer Boxes"",""assetId"":17083657055,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""No.1 Shipping Box Supplier"",""assetId"":17083656992,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]","[{""assetText"":""Your Brand Will Stand Out Amongst A Sea Of Brown Boxes."",""assetId"":17083657154,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""These Custom Shipping Boxes Are Durable And Strong Shipping Corrugated Boxes."",""assetId"":17083657142,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""},{""assetText"":""View Our Range And Request A Quote For Our Top-Quality Custom Mailer Boxes Now!"",""assetId"":17083657007,""assetPerformanceLabel"":""PENDING"",""assetApprovalStatus"":""APPROVED""}]",custom,shipping boxes, --, --,"[""https://copackinc.com/product/shipping-boxes/""]", --, --, --, --, --, --,7.89%,2022-06-09
