"CAMPAIGN_PERFORMANCE_REPORT (Jun 1, 2022-Jun 20, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
14632333139,Ecommerce (MS),2,1,920000,1.00,2022-06-10,Tablets with full browsers,Search Network,Google search: Top,USD,920000,50.00%,920000,100.00%,1.00,920000,460000000,Google search,1.00
14628610557,Food Service (MS),378,2,1270000,2.00,2022-06-11,Mobile devices with full browsers,Search Network,Search partners: Other,USD,635000,0.53%,635000,100.00%,2.00,635000,3359788,Search partners,2.00
14628610557,Food Service (MS),93,3,2720000,3.00,2022-06-18,Computers,Search Network,Search partners: Other,USD,906667,3.23%,906667,100.00%,3.00,906667,29247312,Search partners,3.00
14632333139,Ecommerce (MS),14,1,930000,1.00,2022-06-13,Computers,Search Network,Google search: Top,USD,930000,7.14%,930000,100.00%,1.00,930000,66428571,Google search,1.00
14632333139,Ecommerce (MS),145,14,15990000,13.00,2022-06-15,Mobile devices with full browsers,Search Network,Google search: Top,USD,1230000,9.66%,1142143,92.86%,13.00,1142143,110275862,Google search,13.00
14628610557,Food Service (MS),130,4,2410000,3.00,2022-06-03,Computers,Search Network,Search partners: Other,USD,803333,3.08%,602500,75.00%,3.00,602500,18538462,Search partners,3.00
14628610557,Food Service (MS),103,7,5830000,5.00,2022-06-09,Mobile devices with full browsers,Search Network,Google search: Top,USD,1166000,6.80%,832857,71.43%,5.00,832857,56601942,Google search,5.00
14628610557,Food Service (MS),109,2,1810000,2.00,2022-06-10,Computers,Search Network,Search partners: Other,USD,905000,1.83%,905000,100.00%,2.00,905000,16605505,Search partners,2.00
14628610557,Food Service (MS),118,1,590000,1.00,2022-06-01,Computers,Search Network,Search partners: Other,USD,590000,0.85%,590000,100.00%,1.00,590000,5000000,Search partners,1.00
14632333139,Ecommerce (MS),16,0,0,1.00,2022-06-06,Computers,Search Network,Google search: Top,USD,0,0.00%,0,0.00%,1.00,0,0,Google search,1.00
14632333139,Ecommerce (MS),118,7,7050000,7.00,2022-06-05,Mobile devices with full browsers,Search Network,Google search: Top,USD,1007143,5.93%,1007143,100.00%,7.00,1007143,59745763,Google search,7.00
14628610557,Food Service (MS),519,3,2280000,2.00,2022-06-10,Mobile devices with full browsers,Search Network,Search partners: Other,USD,1140000,0.58%,760000,66.67%,2.00,760000,4393064,Search partners,2.00
14628610557,Food Service (MS),29,2,1670000,2.00,2022-06-04,Computers,Search Network,Google search: Other,USD,835000,6.90%,835000,100.00%,2.00,835000,57586207,Google search,2.00
14628610557,Food Service (MS),83,8,5940000,7.00,2022-06-12,Mobile devices with full browsers,Search Network,Google search: Top,USD,848571,9.64%,742500,87.50%,7.00,742500,71566265,Google search,7.00
14632333139,Ecommerce (MS),19,2,2070000,1.00,2022-06-05,Computers,Search Network,Google search: Top,USD,2070000,10.53%,1035000,50.00%,1.00,1035000,108947368,Google search,1.00
14628610557,Food Service (MS),2,1,750000,1.00,2022-06-11,Tablets with full browsers,Search Network,Google search: Top,USD,750000,50.00%,750000,100.00%,1.00,750000,375000000,Google search,1.00
14628610557,Food Service (MS),44,2,1880000,2.00,2022-06-09,Computers,Search Network,Google search: Other,USD,940000,4.55%,940000,100.00%,2.00,940000,42727273,Google search,2.00
14632333139,Ecommerce (MS),17,1,1030000,1.00,2022-06-12,Mobile devices with full browsers,Search Network,Google search: Other,USD,1030000,5.88%,1030000,100.00%,1.00,1030000,60588235,Google search,1.00
14632333139,Ecommerce (MS),26,3,3000000,3.00,2022-06-05,Computers,Search Network,Google search: Other,USD,1000000,11.54%,1000000,100.00%,3.00,1000000,115384615,Google search,3.00
14628610557,Food Service (MS),75,5,4150000,5.00,2022-06-15,Mobile devices with full browsers,Search Network,Google search: Top,USD,830000,6.67%,830000,100.00%,5.00,830000,55333333,Google search,5.00
14628610557,Food Service (MS),25,2,1570000,1.00,2022-06-12,Computers,Search Network,Google search: Other,USD,1570000,8.00%,785000,50.00%,1.00,785000,62800000,Google search,1.00
14628610557,Food Service (MS),28,1,810000,2.00,2022-06-20,Computers,Search Network,Google search: Top,USD,405000,3.57%,810000,200.00%,2.00,810000,28928571,Google search,2.00
14632333139,Ecommerce (MS),20,3,3940000,3.00,2022-06-02,Computers,Search Network,Google search: Top,USD,1313333,15.00%,1313333,100.00%,3.00,1313333,197000000,Google search,3.00
14628610557,Food Service (MS),150,9,7480000,8.00,2022-06-02,Mobile devices with full browsers,Search Network,Google search: Top,USD,935000,6.00%,831111,88.89%,8.00,831111,49866667,Google search,8.00
14632333139,Ecommerce (MS),21,2,2660000,2.00,2022-06-14,Computers,Search Network,Google search: Top,USD,1330000,9.52%,1330000,100.00%,2.00,1330000,126666667,Google search,2.00
14628610557,Food Service (MS),556,1,850000,1.00,2022-06-16,Mobile devices with full browsers,Search Network,Search partners: Other,USD,850000,0.18%,850000,100.00%,1.00,850000,1528777,Search partners,1.00
14628610557,Food Service (MS),102,9,7050000,9.00,2022-06-06,Mobile devices with full browsers,Search Network,Google search: Top,USD,783333,8.82%,783333,100.00%,9.00,783333,69117647,Google search,9.00
14628610557,Food Service (MS),39,1,780000,1.00,2022-06-06,Computers,Search Network,Google search: Other,USD,780000,2.56%,780000,100.00%,1.00,780000,20000000,Google search,1.00
14632333139,Ecommerce (MS),128,6,7200000,6.00,2022-06-03,Mobile devices with full browsers,Search Network,Google search: Top,USD,1200000,4.69%,1200000,100.00%,6.00,1200000,56250000,Google search,6.00
14628610557,Food Service (MS),111,7,6120000,7.00,2022-06-17,Mobile devices with full browsers,Search Network,Google search: Top,USD,874286,6.31%,874286,100.00%,7.00,874286,55135135,Google search,7.00
14632333139,Ecommerce (MS),27,1,1180000,1.00,2022-06-18,Computers,Search Network,Google search: Other,USD,1180000,3.70%,1180000,100.00%,1.00,1180000,43703704,Google search,1.00
14628610557,Food Service (MS),106,1,870000,1.00,2022-06-19,Computers,Search Network,Search partners: Other,USD,870000,0.94%,870000,100.00%,1.00,870000,8207547,Search partners,1.00
14628610557,Food Service (MS),80,6,5410000,6.00,2022-06-10,Mobile devices with full browsers,Search Network,Google search: Top,USD,901667,7.50%,901667,100.00%,6.00,901667,67625000,Google search,6.00
14628610557,Food Service (MS),24,2,1650000,2.00,2022-06-01,Computers,Search Network,Google search: Top,USD,825000,8.33%,825000,100.00%,2.00,825000,68750000,Google search,2.00
14628610557,Food Service (MS),53,2,1530000,2.00,2022-06-10,Computers,Search Network,Google search: Other,USD,765000,3.77%,765000,100.00%,2.00,765000,28867925,Google search,2.00
